建筑名称,斗拱踩数,建筑高度(米),建筑等级,建造年代,用途类型
太和殿,11,35.05,最高等级,1420,朝会大典
中和殿,9,23.80,高等,1420,皇帝休憩
保和殿,9,29.50,高等,1420,殿试宴席
乾清宫,9,20.00,中高,1420,帝后寝宫
坤宁宫,7,22.00,中等,1420,皇后寝宫
午门,9,37.95,高等,1420,宫门正门
太和门,7,23.80,中高,1420,外朝正门
神武门,5,16.00,中等,1420,北门
东华门,5,15.00,中等,1420,东门
西华门,5,15.00,中等,1420,西门
养心殿,7,18.00,中等,1557,皇帝办公
储秀宫,5,12.00,较低,1420,嫔妃居所
翊坤宫,5,12.00,较低,1420,嫔妃居所
慈宁宫,7,20.00,中等,1536,太后居所
文华殿,5,15.00,中等,1420,经筵讲学
武英殿,5,15.00,中等,1420,皇帝斋居
钦安殿,7,14.00,中等,1420,道教殿宇
奉先殿,7,16.00,中等,1420,祭祀祖先
皇极殿,9,25.00,高等,1697,太上皇宫殿
宁寿宫,7,18.00,中等,1772,太后居所
