id,name,modelId,category,description
zhong-gong-su-fang,重栱素方,R1L3,基础类型,双层拱件承托素方结构稳重常见于殿阁式建筑
dai-ang-zhuan-jiao,带昂转角铺作,R1L4,转角类型,位于建筑转角柱头之上结构最为复杂使用斜向伸出的昂杆
shu-zhu-duo-ceng,竖柱式多层,R1L5,多层类型,多层竖柱叠加适用于高层建筑
dan-qiao-wai-zhuai,单翘外拽,R1L6,外拽类型,单翘向外伸出承托屋檐
dai-ang-bu-jian,带昂补间铺作,R2L1,补间类型,带昂杆的补间铺作增强承载能力
qing-shi-dan-qiao,清式单翘,R2L2,清代类型,清代单翘样式结构简化
zhong-gong-xia-ang,重栱下昂,R2L3,下昂类型,双层拱件配下昂杠杆传力
zhong-gong-zhong-ang,重拱重昂,R2L4,重昂类型,双层拱件双层昂承载能力强
ru-yi,如意,R2L5,装饰类型,如意形装饰拱造型优美
juan-yun-ling-gong,卷云形令拱,R2L6,装饰类型,卷云纹样令拱装饰性极强
yi-xing-da-dou,异形大斗组合,R3L1,异形类型,异形大斗结构形式独特
lou-ge-ping-zuo,楼阁平座,R3L2,平座类型,楼阁平台斗拱承托楼阁
heng-gong-su-fang-2,横拱素方,R3L3,基础类型,横向拱件配素方结构简洁
xie-xiang-ang-zui,斜向昂嘴构件,R3L4,构件类型,斜向伸出昂嘴装饰功能
zhong-gong-qi-xin,重栱齐心,R3L5,齐心类型,齐心斗拱结构对称稳定
jian-hua-ling-gong,简化令拱,R3L6,简化类型,简化形式令拱施工便捷
zhong-gong-xia-ang-2,重栱下昂,R4L1,下昂类型,双层拱件下昂杠杆传力结构
qing-shi-liu-jin,清式溜金,R4L2,清代类型,清代溜金做法装饰华丽
pin-zi-ke,品字科,R5L1,特殊类型,品字形排列结构独特
duo-ceng-ping-zuo,多层平座,R5L2,平座类型,多层平台结构承托多层建筑
gao-deng-ji-ping-zuo,高等级平座,R5L3,平座类型,高规格平台用于重要建筑
li-zhu-shi,立柱式,R5L4,立柱类型,立柱支撑结构承重能力强
ta-cha-ji-zuo,塔刹基座,R5L5,塔刹类型,塔刹底座斗拱用于佛塔建筑
